plant_id,genotype_name,R01_raceme_start,R02_mean_rate,R03_max_rate,R04_DAS_of_max_rate,R05_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max
BR024-19215,PH19,63.51736111,34.27517129,55.99870373,65.51746528,29.59284992,10.95246629,20.08627634,49.98874093,41.78225898,1467,99.54427083,36.02690972
BR024-19216,PH19,59.64262731,32.99324283,77,61.64266204,29.26659877,10.24510039,17.07565762,51.53683029,46.93816296,1394,104.6426505,45.00002315
BR024-19217,PH19,56.76846065,50.72431292,86.01991202,58.76802083,23.34777805,9.888024525,17.2097486,65.68551669,57.16236901,1637,89.76834491,32.99988426
BR024-19218,PH19,66.87359954,29.95191333,71.94088191,70.87377315,31.6307005,10.14791967,24.44729812,52.12891088,32.33486155,1346,104.8731019,37.99950231
BR024-20111,PH20,46.02421296,30.81867628,87.00201394,47.02418981,21.58431446,10.93966505,17.74968461,34.5531603,31.4090088,1018,92.02391204,45.99969907
BR024-20112,PH20,46.16266204,22.98541502,81.00468777,47.16260417,31.89413805,11.2041814,19.8210148,37.6198836,31.09073911,1079,88.16236111,41.99969907
BR024-20113,PH20,49.20597222,14.52694083,50.00636655,56.20564815,28.16835319,12.23975278,18.28817508,11.27473753,16.81414349,978,85.208125,36.00215278
BR024-20114,PH20,55.29032407,14.02160713,9.997801409,61.2902662,23.05013947,11.909133,17.40000174,14.44269705,15.31609043,678,97.29046296,42.00013889
BR024-20215,PH20,47.52149306,29.46495837,93.02584051,48.52121528,22.9187495,10.09993168,17.78652829,36.8814376,31.58289189,1057,85.52122685,37.9997338
BR024-20216,PH20,45.613125,30.19083739,95.05500869,47.6124537,21.71519761,10.37854127,17.3786598,34.49425028,31.30275903,1044,83.61275463,37.99962963
BR024-20217,PH20,55.77765046,21.68899347,64.95864901,61.7778125,23.59261165,7.912416667,11.97240934,36.20891215,35.6862172,863,92.77783565,37.00018519
BR024-20218,PH20,46.85891204,31.66260785,88.03668195,48.8562963,20.35524058,4.633353257,11.24061036,75.64715672,47.52855786,1035,84.85680556,37.99789352
BR024-21111,PH21,54.02503472,32.921938,94.99890048,63.02497685,37.02090685,8.989415692,19.14993229,77.20190319,53.36833491,1612,92.02503472,38
BR024-21112,PH21,53.14112269,71.70013701,91.99680567,55.14135417,14.08504979,6.615900872,10.99573018,84.87128372,76.55244227,1421,97.14715278,44.00603009
BR024-21113,PH21,53.21074074,36.31624507,96.0111124,56.21054398,24.55650352,5.951281052,9.528664307,83.84749361,78.13267169,1282,103.2132176,50.00247685
